gracodigo;granome;coramo;noramo
01;01 - Patrimonial;0111;0111 - INCÊNDIO TRADICIONAL(RUN OFF)
01;01 - Patrimonial;0112;0112 - Assistência - Bens em Geral
01;01 - Patrimonial;0113;0113 - Vidros
01;01 - Patrimonial;0114;0114 - Compreensivo Residencial
01;01 - Patrimonial;0115;0115 - ROUBO(RUN OFF)
01;01 - Patrimonial;0116;0116 - Compreensivo Condomínio
01;01 - Patrimonial;0117;0117 - Tumultos
01;01 - Patrimonial;0118;0118 - Compreensivo Empresarial
01;01 - Patrimonial;0141;0141 - Lucros Cessantes
01;01 - Patrimonial;0142;0142 - Lucros Cessantes Cobertura Simples
01;01 - Patrimonial;0143;0143 - Fidelidade
01;01 - Patrimonial;0167;0167 - Riscos de Engenharia
01;01 - Patrimonial;0171;0171 - Riscos Diversos
01;01 - Patrimonial;0173;0173 - Global de Bancos
01;01 - Patrimonial;0176;0176 - Riscos Diversos - Planos Conjugados
01;01 - Patrimonial;0195;0195 - Garantia Est./Ext.Gar-Bens em Geral
01;01 - Patrimonial;0196;0196 - Riscos Nomeados e Operacionais
02;02 - Riscos Especiais;0234;0234 - RISCOS DE PETRÓLEO(RUN OFF)
02;02 - Riscos Especiais;0272;0272 - RISCOS NUCLEARES(RUN OFF)
02;02 - Riscos Especiais;0274;0274 - SATÉLITES(RUN OFF)
03;03 - Responsabilidades;0310;0310 - R.C.Administradores e Diretores-D&O
03;03 - Responsabilidades;0313;0313 - R. C. Riscos Ambientais
03;03 - Responsabilidades;0327;0327 - Compreensivo Riscos Cibernéticos
03;03 - Responsabilidades;0351;0351 - R. C. Geral
03;03 - Responsabilidades;0378;0378 - R. C.  Profissional
04;04 - Cascos;0433;0433 -  Marítimos(RUN OFF)
04;04 - Cascos;0435;0435 - AERONÁUTICOS(RUN OFF)
04;04 - Cascos;0437;0437  - RESPONSAB CIVIL HANGAR(RUN OFF)
04;04 - Cascos;0457;0457 - D. P. E. M.(RUN OFF)
04;04 - Cascos;0484;0484 - Aeronáuticos - Bilhete
05;05 - Automóvel;0520;0520 - Acidentes Pessoais Passageiros-APP
05;05 - Automóvel;0523;0523 - RC T.ROD.PAS INTEST OU INT(RUN OFF)
05;05 - Automóvel;0524;0524 - Garantia Est./ Exten. GarantiaAuto
05;05 - Automóvel;0525;0525 - Carta Verde
05;05 - Automóvel;0526;0526 - Seguro Popular de Auto Us (RUN OFF)
05;05 - Automóvel;0527;0527 - RC Veic Pass Acordos fora Mercosul
05;05 - Automóvel;0531;0531 - Automóvel - Casco
05;05 - Automóvel;0542;0542 - Assistência e Outras Cobert. - Auto
05;05 - Automóvel;0544;0544 - R.C.T.Viag InterPes Tran/ñ(RUN OFF)
05;05 - Automóvel;0553;0553 - R. C. Facultativa Veículos - RCFV
05;05 - Automóvel;0583;0583 - DPVAT Extinto
05;05 - Automóvel;0588;0588 - DPVAT
05;05 - Automóvel;0589;0589 - DPVAT( RUN OFF)
06;06 - Transportes;0621;0621 - Transporte Nacional
06;06 - Transportes;0622;0622 - Transporte Internacional
06;06 - Transportes;0623;0623 - RCTR-P Interestadual/Internacional
06;06 - Transportes;0627;0627 - Resp. Civil do Transp.Intm(RUN OFF)
06;06 - Transportes;0628;0628 - RCTR-P Municipal/Intermunicipal
06;06 - Transportes;0632;0632 - R.C.Trans.Carga Viag.Int.-RCTR-VI-C
06;06 - Transportes;0638;0638 - R.C.Trans. Ferroviário CargaRCTF-C
06;06 - Transportes;0644;0644 - R.C. Viag.Int. Pessoas - Carta Azul
06;06 - Transportes;0645;0645 - RC Transp Intern fora do ATIT
06;06 - Transportes;0652;0652 - R. C. Trans. Aéreo Carga - RCTA-C
06;06 - Transportes;0654;0654 - R.C. Trans. Rodoviário CargaRCTR-C
06;06 - Transportes;0655;0655 -  RC Trans Desaparec Carga RC-DC
06;06 - Transportes;0656;0656 - R.C. Trans. Aquaviário CargaRCA-C
06;06 - Transportes;0658;0658 - R.C.Operador Transp. Multi.-RCOTM-C
06;06 - Transportes;0659;0659 - RC Veículo Transp Rod Carga RC-V
07;07 - Riscos Financeiros;0711;0711 - Riscos Diversos Financeiros
07;07 - Riscos Financeiros;0739;0739 - Garantia Financeira(RUN OFF)
07;07 - Riscos Financeiros;0740;0740 - Garantia de Obrigaçõe Priv(RUN OFF)
07;07 - Riscos Financeiros;0743;0743 - Stop Loss
07;07 - Riscos Financeiros;0745;0745 - Garantia de Obrig Públicas(RUN OFF)
07;07 - Riscos Financeiros;0746;0746 - Fiança Locatícia
07;07 - Riscos Financeiros;0747;0747 - Garantia de Conc Públicas (RUN OFF)
07;07 - Riscos Financeiros;0748;0748 - Crédito Interno
07;07 - Riscos Financeiros;0749;0749 - Crédito à Exportação
07;07 - Riscos Financeiros;0750;0750 - Garantia Judicial(RUN OFF)
07;07 - Riscos Financeiros;0775;0775 - Garantia Segurado - Setor Público
07;07 - Riscos Financeiros;0776;0776 - Garantia Segurado - Setor Privado
08;08 - Crédito;0819;0819 - Crédito à Exp. Risco Comer(RUN OFF)
08;08 - Crédito;0848;0848 - Crédito Interno
08;08 - Crédito;0849;0849 - Crédito à Exportação
08;08 - Crédito;0859;0859 - Crédito à Expor Risc Polít(RUN OFF)
08;08 - Crédito;0860;0860 - Crédito Dom Risco Comerc(RUN OFF)
08;08 - Crédito;0870;0870 - Crédito Dom Risco P.Físic (RUN OFF)
09;09 - Pessoas Coletivo;0929;0929 - Funeral
09;09 - Pessoas Coletivo;0936;0936 - Perda Certif. Habilit. de Vôo-PCHV
09;09 - Pessoas Coletivo;0949;0949 - Crédito à Exportação
09;09 - Pessoas Coletivo;0969;0969 -  Viagem
09;09 - Pessoas Coletivo;0977;0977 - Prestamista (exceto Habit e Rural)
09;09 - Pessoas Coletivo;0980;0980 -  Educacional
09;09 - Pessoas Coletivo;0981;0981 - ACIDENTES PESS - INDIVID(RUN OFF)
09;09 - Pessoas Coletivo;0982;0982 - Acidentes Pessoais
09;09 - Pessoas Coletivo;0983;0983  - Dotal Misto
09;09 - Pessoas Coletivo;0984;0984  - Doenças Graves ou Doença Terminal
09;09 - Pessoas Coletivo;0986;0986  - Dotal Puro
09;09 - Pessoas Coletivo;0987;0987 - Desemprego/Perda de Renda
09;09 - Pessoas Coletivo;0990;0990 -  Eventos Aleatórios
09;09 - Pessoas Coletivo;0991;0991 -  Vida(RUN OFF)
09;09 - Pessoas Coletivo;0992;0992 - VGBL/VAGP/VRGP/VRSA/PRI ind(RUN OFF
